# DURATION     TID      FUNCTION [SOURCE]
 146.196 us [ 991956] | __slz_initialize(); /* src/slz.c:1335 */
            [ 991956] | main() { /* src/haproxy.c:3033 */
  15.810 us [ 991956] |   check_if_static_build(); /* src/tools.c:5003 */
   4.820 us [ 991956] |   init_log(); /* src/log.c:1851 */
   0.692 us [ 991956] |   ha_random64(); /* src/tools.c:5343 */
   0.300 us [ 991956] |   vars_init_head(); /* src/vars.c:225 */
  36.649 us [ 991956] |   init_task(); /* src/task.c:934 */
            [ 991956] |   init_pools() { /* src/pool.c:1056 */
   3.577 us [ 991956] |     get_sym_curr_addr(); /* src/tools.c:5026 */
   6.081 us [ 991956] |   } /* init_pools */
            [ 991956] |   __thread_init() { /* src/thread.c:1061 */
            [ 991961] | dummy_thread_function() { /* src/thread.c:1048 */
            [ 991956] |     memprintf() { /* src/tools.c:4234 */
   9.498 us [ 991956] |       memvprintf(); /* src/tools.c:4186 */
   9.959 us [ 991956] |     } /* memprintf */
   2.073 us [ 991956] |     hap_register_build_opts(); /* src/haproxy.c:316 */
 292.052 us [ 991956] |   } /* __thread_init */
   7.093 us [ 991956] |   sample_conf_url_enc_init(); /* src/http_conv.c:298 */
  54.002 us [ 991956] |   sock_inet_prepare(); /* src/sock_inet.c:413 */
  11.983 us [ 991956] |   signal_init(); /* src/signal.c:102 */
   0.240 us [ 991956] |   _do_register(); /* src/ev_poll.c:320 */
   0.391 us [ 991956] |   _do_register(); /* src/ev_epoll.c:379 */
   0.220 us [ 991956] |   acl_register_keywords(); /* src/acl.c:50 */
   0.351 us [ 991956] |   sample_register_convs(); /* src/sample.c:412 */
   1.704 us [ 991956] |   sample_register_fetches(); /* src/sample.c:395 */
   0.451 us [ 991956] |   hap_register_post_deinit(); /* src/init.c:150 */
            [ 991956] |   ssl_register_build_options() { /* src/ssl_sock.c:8101 */
            [ 991956] |     memprintf() { /* src/tools.c:4234 */
   1.523 us [ 991956] |       memvprintf(); /* src/tools.c:4186 */
   1.693 us [ 991956] |     } /* memprintf */
            [ 991956] |     memprintf() { /* src/tools.c:4234 */
   0.771 us [ 991956] |       memvprintf(); /* src/tools.c:4186 */
   0.891 us [ 991956] |     } /* memprintf */
            [ 991956] |     memprintf() { /* src/tools.c:4234 */
   0.752 us [ 991956] |       memvprintf(); /* src/tools.c:4186 */
   0.852 us [ 991956] |     } /* memprintf */
            [ 991956] |     memprintf() { /* src/tools.c:4234 */
   0.822 us [ 991956] |       memvprintf(); /* src/tools.c:4186 */
   0.932 us [ 991956] |     } /* memprintf */
            [ 991956] |     memprintf() { /* src/tools.c:4234 */
   0.842 us [ 991956] |       memvprintf(); /* src/tools.c:4186 */
   0.942 us [ 991956] |     } /* memprintf */
            [ 991956] |     memprintf() { /* src/tools.c:4234 */
   0.661 us [ 991956] |       memvprintf(); /* src/tools.c:4186 */
   0.771 us [ 991956] |     } /* memprintf */
            [ 991956] |     memprintf() { /* src/tools.c:4234 */
   0.632 us [ 991956] |       memvprintf(); /* src/tools.c:4186 */
   0.732 us [ 991956] |     } /* memprintf */
            [ 991956] |     memprintf() { /* src/tools.c:4234 */
   0.781 us [ 991956] |       memvprintf(); /* src/tools.c:4186 */
   0.881 us [ 991956] |     } /* memprintf */
   0.651 us [ 991956] |     ssl_provider_get_name_cb(); /* src/ssl_sock.c:7650 */
            [ 991956] |     memprintf() { /* src/tools.c:4234 */
   0.982 us [ 991956] |       memvprintf(); /* src/tools.c:4186 */
   1.112 us [ 991956] |     } /* memprintf */
            [ 991956] |     memprintf() { /* src/tools.c:4234 */
   0.962 us [ 991956] |       memvprintf(); /* src/tools.c:4186 */
   1.082 us [ 991956] |     } /* memprintf */
   0.310 us [ 991956] |     hap_register_build_opts(); /* src/haproxy.c:316 */
  18.635 us [ 991956] |   } /* ssl_register_build_options */
            [ 991956] |   __ssl_sock_init() { /* src/ssl_sock.c:7999 */
   0.371 us [ 991956] |     hap_register_post_check(); /* src/init.c:102 */
   0.301 us [ 991956] |     hap_register_post_deinit(); /* src/init.c:150 */
   0.191 us [ 991956] |     hap_register_post_deinit(); /* src/init.c:150 */
   0.190 us [ 991956] |     hap_register_post_deinit(); /* src/init.c:150 */
   0.190 us [ 991956] |     hap_register_post_check(); /* src/init.c:102 */
   0.230 us [ 991956] |     hap_register_post_deinit(); /* src/init.c:150 */
  23.835 us [ 991956] |   } /* __ssl_sock_init */
   0.300 us [ 991956] |   http_req_keywords_register(); /* src/http_rules.c:53 */
   0.491 us [ 991956] |   cli_register_kw(); /* src/cli.c:387 */
   0.220 us [ 991956] |   hap_register_post_deinit(); /* src/init.c:150 */
   0.501 us [ 991956] |   stats_register_module(); /* src/stats.c:5092 */
   0.060 us [ 991956] |   cli_register_kw(); /* src/cli.c:387 */
   0.050 us [ 991956] |   cli_register_kw(); /* src/cli.c:387 */
   0.410 us [ 991956] |   cfg_register_keywords(); /* src/cfgparse.c:4307 */
   0.501 us [ 991956] |   srv_register_keywords(); /* src/server.c:330 */
   0.281 us [ 991956] |   bind_register_keywords(); /* src/listener.c:1282 */
   0.200 us [ 991956] |   hap_register_post_deinit(); /* src/init.c:150 */
   0.191 us [ 991956] |   hap_register_post_deinit(); /* src/init.c:150 */
   0.200 us [ 991956] |   hap_register_post_check(); /* src/init.c:102 */
   0.181 us [ 991956] |   hap_register_post_deinit(); /* src/init.c:150 */
   0.180 us [ 991956] |   hap_register_post_check(); /* src/init.c:102 */
   0.190 us [ 991956] |   hap_register_post_deinit(); /* src/init.c:150 */
   0.581 us [ 991956] |   __quic_conn_init(); /* src/xprt_quic.c:7144 */
   0.251 us [ 991956] |   trace_register_source(); /* src/trace.c:272 */
   0.651 us [ 991956] |   register_mux_proto(); /* src/connection.c:1654 */
   0.060 us [ 991956] |   trace_register_source(); /* src/trace.c:272 */
   0.050 us [ 991956] |   trace_register_source(); /* src/trace.c:272 */
